Hours_Studied,Attendance,Sleep_Hours,Previous_Scores,Tutoring_Sessions,Physical_Activity,Exam_Score,Total_Study_Time,Study_Efficiency,Gender_Male,School_Type_Public,Parental_Involvement_Low,Parental_Involvement_Medium,Access_to_Resources_Low,Access_to_Resources_Medium,Extracurricular_Activities_Yes,Motivation_Level_Low,Motivation_Level_Medium,Internet_Access_Yes,Family_Income_Low,Family_Income_Medium,Teacher_Quality_Low,Teacher_Quality_Medium,Peer_Influence_Neutral,Peer_Influence_Positive,Learning_Disabilities_Yes,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Moderate,Distance_from_Home_Near
23,84,7,73,0.0,3,67,0.0,2.7916666666666665,True,True,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,True
19,64,8,59,2.0,4,61,38.0,3.05,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
24,98,7,91,2.0,4,74,48.0,2.96,True,True,False,True,False,True,True,False,True,True,False,True,False,True,True,False,False,False,True,False,True
29,89,8,98,1.0,4,71,29.0,2.3666666666666667,True,True,True,False,False,True,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False
19,92,6,65,3.0,4,70,57.0,3.5,False,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True
19,88,8,89,3.0,3,71,57.0,3.55,True,True,False,True,False,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True
29,84,7,68,1.0,2,67,29.0,2.2333333333333334,True,False,False,True,True,False,True,True,False,True,True,False,False,True,True,False,False,True,False,True,False
25,78,6,50,1.0,2,66,25.0,2.5384615384615383,True,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False
17,94,6,80,0.0,1,69,0.0,3.8333333333333335,True,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,True
23,98,8,71,0.0,5,72,0.0,3.0,True,True,False,True,False,True,True,False,True,True,False,False,False,False,False,True,False,True,False,True,False
17,80,8,88,3.5,4,68,59.5,3.7777777777777777,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False
17,97,6,87,2.0,2,71,34.0,3.9444444444444446,True,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,True
21,83,8,97,2.0,4,70,42.0,3.1818181818181817,True,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True
9,82,8,72,2.0,3,66,18.0,6.6,True,False,False,True,False,True,True,False,True,True,False,True,False,True,False,True,False,False,True,False,True
10,78,8,74,1.0,4,65,10.0,5.909090909090909,True,False,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,True
17,68,8,70,2.0,4,64,34.0,3.5555555555555554,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,True,False,False,True
14,60,10,65,0.0,3,60,0.0,4.0,True,False,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,True
22,70,6,82,1.0,3,65,22.0,2.8260869565217392,False,True,True,False,False,True,True,False,True,True,True,False,False,False,True,False,False,True,False,False,True
15,80,9,91,3.0,2,67,45.0,4.1875,False,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False
12,75,7,58,3.0,4,66,36.0,5.076923076923077,True,False,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,False,True
29,78,5,99,0.0,1,69,0.0,2.3,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
19,99,6,84,1.0,3,72,19.0,3.6,True,True,False,True,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True
20,74,8,89,1.0,2,66,20.0,3.142857142857143,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False
11,78,8,100,1.0,3,66,11.0,5.5,True,True,False,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,True,False
17,65,5,75,2.0,3,63,34.0,3.5,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,False,False,True
21,62,6,54,0.0,3,64,0.0,2.909090909090909,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
13,91,6,90,1.0,2,65,13.0,4.642857142857143,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,True,False,True,False
22,83,6,94,0.0,2,71,0.0,3.0869565217391304,True,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,True,False
16,90,4,58,1.0,3,66,16.0,3.8823529411764706,False,True,False,True,False,True,False,False,True,True,True,False,False,True,True,False,False,True,False,True,False
18,66,4,51,2.0,2,64,36.0,3.3684210526315788,True,False,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True
16,83,6,57,0.0,4,63,0.0,3.7058823529411766,False,True,True,False,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True
31,70,7,66,1.0,3,69,31.0,2.15625,True,True,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True
20,69,8,96,2.0,3,67,40.0,3.1904761904761907,True,True,False,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,True
14,60,5,50,2.0,3,61,28.0,4.066666666666666,False,True,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
25,65,5,90,2.0,3,68,50.0,2.6153846153846154,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False
13,72,6,93,1.0,3,61,13.0,4.357142857142857,True,True,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,True
21,65,7,91,2.0,3,64,42.0,2.909090909090909,False,True,False,True,True,False,True,True,False,True,False,True,False,False,False,True,False,True,False,False,False
8,99,9,54,2.0,5,67,16.0,7.444444444444445,False,True,False,True,False,True,False,True,False,True,True,False,False,True,True,False,False,False,True,False,True
12,72,8,84,1.0,5,63,12.0,4.846153846153846,False,True,True,False,False,True,True,False,True,True,True,False,False,True,False,True,False,True,False,False,True
21,65,6,98,1.0,4,64,21.0,2.909090909090909,True,True,True,False,False,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,True
24,68,8,56,3.0,1,67,72.0,2.68,True,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
21,84,6,52,1.0,2,65,21.0,2.9545454545454546,False,True,False,True,False,True,True,True,False,True,False,True,False,False,True,False,True,False,False,False,False
19,63,7,94,1.0,3,64,19.0,3.2,True,False,True,False,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False
18,94,7,82,3.0,2,70,54.0,3.6842105263157894,True,False,False,True,False,False,True,False,True,True,False,True,False,True,False,False,True,False,False,False,True
11,98,9,82,1.0,3,68,11.0,5.666666666666667,True,False,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,False,True,False,False
16,70,8,98,2.0,3,65,32.0,3.823529411764706,True,True,False,True,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False
17,78,6,88,1.0,3,68,17.0,3.7777777777777777,False,False,False,True,False,True,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True
26,61,6,70,2.0,3,64,52.0,2.3703703703703702,False,True,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False
22,86,7,72,3.0,2,68,66.0,2.9565217391304346,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False
9,77,5,57,2.0,3,63,18.0,6.3,True,True,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,True
22,71,7,65,1.0,4,64,22.0,2.782608695652174,True,True,True,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False
18,68,7,72,0.0,3,64,0.0,3.3684210526315788,True,True,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True
16,86,8,63,2.0,4,67,32.0,3.9411764705882355,True,True,True,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False,False,True
24,77,8,96,0.0,3,67,0.0,2.68,False,True,False,False,True,False,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True
26,67,7,51,2.0,4,66,52.0,2.4444444444444446,False,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False
26,88,5,79,1.0,4,72,26.0,2.6666666666666665,True,False,False,True,False,False,True,False,True,True,True,False,False,False,False,True,False,False,False,True,False
15,83,5,89,1.0,2,65,15.0,4.0625,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True
18,94,6,87,1.0,4,71,18.0,3.736842105263158,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,True
22,65,8,82,2.0,1,66,44.0,2.869565217391304,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True
26,91,8,71,0.0,3,68,0.0,2.5185185185185186,True,False,False,True,True,False,True,False,True,True,True,False,False,True,True,False,False,True,False,True,False
17,87,7,96,1.0,5,70,17.0,3.888888888888889,False,True,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True
19,65,10,66,0.0,3,62,0.0,3.1,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False
13,88,9,88,2.0,4,68,26.0,4.857142857142857,True,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False
13,78,9,96,2.0,3,67,26.0,4.785714285714286,True,True,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False
25,98,8,56,0.0,3,71,0.0,2.730769230769231,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True
28,66,8,97,0.0,2,68,0.0,2.3448275862068964,True,True,False,True,False,False,True,False,True,True,False,True,False,True,True,False,False,True,False,False,True
20,86,8,89,1.0,3,69,20.0,3.2857142857142856,True,True,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,True
26,75,4,81,3.0,2,70,78.0,2.5925925925925926,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
22,98,5,69,1.0,4,69,22.0,3.0,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False
16,73,7,95,1.0,4,65,16.0,3.823529411764706,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True
22,98,7,52,3.0,3,70,66.0,3.0434782608695654,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True
29,96,7,72,1.0,3,71,29.0,2.3666666666666667,True,True,False,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False
20,71,7,88,1.0,4,65,20.0,3.0952380952380953,False,True,False,True,False,True,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True
29,92,4,91,2.0,1,72,58.0,2.4,False,True,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,True,False,True
4,100,8,60,0.0,4,69,0.0,13.8,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False
25,70,7,52,1.0,3,66,25.0,2.5384615384615383,False,True,False,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True
21,77,7,90,3.5,3,68,73.5,3.090909090909091,True,False,True,False,False,True,True,False,True,True,False,True,False,True,True,False,False,False,True,True,False
18,81,8,71,0.0,3,65,0.0,3.4210526315789473,False,True,False,False,True,False,True,False,True,True,False,True,False,True,True,False,False,True,False,True,False
21,72,5,57,1.0,5,64,21.0,2.909090909090909,True,True,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,False,False,True,False
8,61,7,54,1.0,3,60,8.0,6.666666666666667,True,True,False,True,False,True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,True
19,69,7,82,1.0,2,65,19.0,3.25,True,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True
22,71,6,79,1.0,3,66,22.0,2.869565217391304,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,True,False,True,False,False,True
29,78,4,93,3.5,3,74,101.5,2.466666666666667,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True
17,67,5,52,2.0,3,62,34.0,3.4444444444444446,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False
15,95,7,93,2.0,4,70,30.0,4.375,True,True,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,False,False,True,False
17,88,7,94,0.0,3,69,0.0,3.8333333333333335,True,True,False,True,False,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True
25,63,7,72,3.0,4,67,75.0,2.576923076923077,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False
22,86,6,54,2.0,0,64,44.0,2.782608695652174,True,True,True,False,True,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,False
